m3u8新聞,#genre#

壹新聞,http://211.23.114.106:8529/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
TVBS新聞,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv072
TVBS,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv073
年代新聞,http://211.72.65.236:8539/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
年代新聞,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
三立新聞,http://211.72.65.236:8543/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
非凡新聞,http://211.23.114.106:8506/http/61.221.81.94:8088/hls/75/817/ch57.m3u8?token=
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台視新聞,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv051
中視新聞,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv074
華視新聞,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv052
東森新聞,http://38.207.160.104:11012/live.php?date=231108&id=ebc-news
東森新聞,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv152
東森新聞,http://37.27.111.214:8080/live/20/hls.m3u8
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞,https://qq01xp.serv00.net/litv.php?id=litv-ftv13

台視財經,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv056
東森財經新聞台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv153
非凡商業台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv048
非凡新聞台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv010

litv頻道,#genre#
ARIRANG阿里郎頻道,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv079
CATCHPLAY電影台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv076
CLASSICA 古典樂,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv059
ELTV生活英語台,https://qq01xp.serv00.net/litv.php?id=litv-longturn20
GINX Esports TV,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv053
i-Fun動漫台,https://qq01xp.serv00.net/litv.php?id=litv-ftv15
Mezzo Live HD,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv083
Smart知識台,https://qq01xp.serv00.net/litv.php?id=litv-longturn19
TRACE Sport Stars,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv077
TRACE Urban,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv082
TVBS,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv073
TVBS新聞,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv072
TVBS精采台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv067
TVBS歡樂台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv068
VOA美國之音,https://qq01xp.serv00.net/litv.php?id=litv-ftv03
八大精彩台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv034
八大綜藝台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv039
中天亞洲台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv109
中天新聞台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv009
中視,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv040
中視菁采台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv064
中視新聞,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv074
中視經典台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv080
公視戲劇,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv042
半島國際新聞台,https://qq01xp.serv00.net/litv.php?id=litv-ftv10
台視,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv066
台視財經,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv056
台視新聞,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv051
台灣戲劇台,https://qq01xp.serv00.net/litv.php?id=litv-longturn22
民視,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv155
民視台灣台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv001
民視旅遊台,https://qq01xp.serv00.net/litv.php?id=litv-ftv07
民視第一台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv003
民視新聞台,https://qq01xp.serv00.net/litv.php?id=litv-ftv13
民視綜藝台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv004
民視影劇台,https://qq01xp.serv00.net/litv.php?id=litv-ftv09
好消息,https://qq01xp.serv00.net/litv.php?id=litv-ftv16
好消息2台,https://qq01xp.serv00.net/litv.php?id=litv-ftv17  
亞洲旅遊台,https://qq01xp.serv00.net/litv.php?id=litv-longturn17
東森財經新聞台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv153
東森新聞台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv152
東森購物1台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv102
東森購物2台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv103
采昌影劇台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv049
非凡商業台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv048
非凡新聞台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv010
客家電視台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv043
時尚運動X,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv014
國會頻道1台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv084
國會頻道2台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv085
第1商業台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv104
博斯高球二台,https://qq01xp.serv00.net/litv.php?id=litv-longturn06
博斯高球台,https://qq01xp.serv00.net/litv.php?id=litv-longturn05
博斯無限二台,https://qq01xp.serv00.net/litv.php?id=litv-longturn13
博斯無限台,https://qq01xp.serv00.net/litv.php?id=litv-longturn10
博斯運動一台,https://qq01xp.serv00.net/litv.php?id=litv-longturn07
博斯運動二台,https://qq01xp.serv00.net/litv.php?id=litv-longturn08
博斯網球台,https://qq01xp.serv00.net/litv.php?id=litv-longturn09
博斯魅力台,https://qq01xp.serv00.net/litv.php?id=litv-longturn04
智林體育台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv101
華視,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv041
華視新聞,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv052
視納華仁紀實頻道,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv013
愛爾達娛樂台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv070
達文西頻道,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv018
靖天日本,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv047
靖天卡通,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv044
靖天育樂,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv062
靖天映畫,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv055
靖天國際,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv063
靖天資訊,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv065
靖天電影,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv061
靖天綜合,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv046
靖天戲劇,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv058
靖天歡樂,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv054
靖洋卡通,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv057
靖洋戲劇,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv045
影迷數位電影台,https://qq01xp.serv00.net/litv.php?id=4gtv-4gtv011
